,city,lat,lon
0,Akron,41.083064,-81.518485
1,Alliance,40.9153362,-81.1059309
2,Amherst,41.3978217,-82.2223775
3,Ashland,40.8686147,-82.3175942
4,Ashtabula,41.865054,-80.789809
5,Athens,39.3289242,-82.1012479
6,Aurora,41.317555,-81.345386
7,Avon,41.4516512,-82.0350598
8,Avon+Lake,41.510033,-82.0185895
9,Barberton,41.012833,-81.6051221
10,Bay+Village,41.484996,-81.9208434
11,Beachwood,41.464498,-81.508732
12,Beavercreek,39.7092262,-84.0632685
13,Bedford,41.39311,-81.536509
14,Bedford+Heights,41.4143826,-81.5061146
15,Bellbrook,39.6358399,-84.0701766
16,Bellefontaine,40.3611643,-83.7596557
17,Bellevue,41.2736163,-82.8409057
18,Belpre,39.2772629,-81.5757932
19,Berea,41.3661614,-81.8543026
20,Bexley,39.9692378,-82.936864
21,Blue+Ash,39.2320073,-84.3782817
22,Bowling+Green,41.3747744,-83.6513229
23,Brecksville,41.3197763,-81.6267904
24,Broadview+Heights,41.3139426,-81.6851271
25,Brooklyn,41.439754,-81.7405559
26,Brook+Park,41.3983838,-81.8045788
27,Brookville,39.8367207,-84.4113366
28,Brunswick,41.2456819,-81.8275398
29,Bryan,41.4747732,-84.5524508
30,Bucyrus,40.8083909,-82.9754649
31,Cambridge,40.031183,-81.5884561
32,Campbell,41.0761424,-80.5932556
33,Canal+Fulton,40.8897784,-81.597623
34,Canal+Winchester,39.8429205,-82.81594617
35,Canfield,41.025059,-80.760912
36,Canton,40.7985464,-81.3749508
37,Celina,40.5489358,-84.5702338
38,Centerville,39.6283928,-84.1593818
39,Chardon,41.582466,-81.20334
40,Cheviot,39.1570028,-84.6132787
41,Chillicothe,39.3331197,-82.9824019
42,Cincinnati,39.1014537,-84.5124602
43,Circleville,39.600618,-82.9460133
44,Clayton,39.8631101,-84.3605022
45,Cleveland,41.5051613,-81.6934446
46,Cleveland+Heights,41.5200518,-81.556235
47,Clyde,41.3040468,-82.9750686
48,Columbiana,40.8886356,-80.6935916
49,Columbus,39.9622601,-83.0007065
50,Conneaut,41.9440977,-80.5561011
51,Cortland,41.330334,-80.725358
52,Coshocton,40.2720151,-81.8595757
53,Cuyahoga+Falls,41.1348213,-81.4848086
