,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Akron,41.083064,-81.518485,Akron Art Museum,41.08415309366378,-81.5154935474792,Art Museum
1,Akron,41.083064,-81.518485,Akron Civic Theatre,41.08062040945358,-81.5205283740004,Performing Arts Venue
2,Akron,41.083064,-81.518485,Sweet Mary's Bakery,41.081953999999996,-81.516478,Bakery
3,Akron,41.083064,-81.518485,Wafa's Mediterranean American Cuisine,41.08391,-81.51807,Lebanese Restaurant
4,Akron,41.083064,-81.518485,Peanut Shoppe,41.07989664004129,-81.51965282255375,Food & Drink Shop
5,Akron,41.083064,-81.518485,The Lockview,41.07978786758348,-81.51946127414703,Bar
6,Akron,41.083064,-81.518485,Urban Eats,41.08548064939503,-81.51603236333872,Café
7,Akron,41.083064,-81.518485,Crave,41.084936756667474,-81.51574381711185,American Restaurant
8,Akron,41.083064,-81.518485,Lock 3,41.079777894184076,-81.5205524149114,Music Venue
9,Akron,41.083064,-81.518485,akron coffee roasters,41.085577,-81.515141,Café
10,Akron,41.083064,-81.518485,Rubber City Clothing,41.085175194567505,-81.5155468355552,Boutique
11,Akron,41.083064,-81.518485,Akronym  Brewing,41.084795,-81.515894,Brewery
12,Akron,41.083064,-81.518485,The Nightlight,41.08553809447045,-81.51567716263898,Indie Movie Theater
13,Akron,41.083064,-81.518485,Angel Falls,41.08342332935553,-81.51861334161636,Coffee Shop
14,Akron,41.083064,-81.518485,SUBWAY,41.08540324326516,-81.5170418689695,Sandwich Place
15,Akron,41.083064,-81.518485,Street Treats Grill,41.08132701608316,-81.51906564348802,Deli / Bodega
16,Akron,41.083064,-81.518485,El Gato Taqueria,41.07974794126683,-81.51971689781377,Mexican Restaurant
17,Akron,41.083064,-81.518485,Uncorked Wine Bar And Gallery,41.085404083608736,-81.51591583822751,Wine Bar
18,Akron,41.083064,-81.518485,Diamond Grille,41.08660925832698,-81.52022215707078,Steakhouse
19,Akron,41.083064,-81.518485,Summit Artspace,41.083754363695185,-81.51359398250268,Art Gallery
20,Akron,41.083064,-81.518485,Chase Bank,41.0838553,-81.517848,Bank
21,Akron,41.083064,-81.518485,Musica,41.085517825956025,-81.51576342614348,Music Venue
22,Akron,41.083064,-81.518485,PNC Bank,41.081639,-81.519429,Bank
23,Akron,41.083064,-81.518485,BLU Jazz+,41.0851458881221,-81.5160145671662,Jazz Club
24,Akron,41.083064,-81.518485,Interbelt Nite Club,41.087391289452796,-81.51721196502527,Gay Bar
25,Akron,41.083064,-81.518485,Chick-fil-A,41.078935,-81.519661,Food Service
26,Akron,41.083064,-81.518485,Quiznos,41.08327342111939,-81.51847958564764,Sandwich Place
27,Akron,41.083064,-81.518485,Baxter's Bar,41.07987533490955,-81.5197729944027,Bar
28,Akron,41.083064,-81.518485,Huntington Bank,41.086025,-81.515777,Bank
29,Akron,41.083064,-81.518485,Starbucks,41.07886,-81.519706,Coffee Shop
30,Akron,41.083064,-81.518485,Barley House,41.079072752322276,-81.52049284709689,Pub
31,Akron,41.083064,-81.518485,Rubber City Roller Girls,41.08289561738816,-81.51580973665345,Sports Club
32,Akron,41.083064,-81.518485,Zee's Convenience Store,41.08178942486363,-81.51517002332686,Convenience Store
33,Akron,41.083064,-81.518485,SYNHAK,41.082846999999994,-81.514465,Event Space
34,Akron,41.083064,-81.518485,Market And Main,41.08449199016291,-81.51471110754308,Intersection
35,Akron,41.083064,-81.518485,ADT Security Services,41.081101000000004,-81.51517,Home Service
36,Akron,41.083064,-81.518485,We Gallery,41.085607,-81.515606,Art Gallery
37,Akron,41.083064,-81.518485,Chill Artisan Ice Cream,41.085652,-81.515388,Ice Cream Shop
38,Alliance,40.915336200000006,-81.1059309,Thornes IGA,40.91627321934168,-81.10620288124602,Grocery Store
39,Alliance,40.915336200000006,-81.1059309,Victorio's Pizza,40.914152,-81.101578,Pizza Place
40,Alliance,40.915336200000006,-81.1059309,Glamorgan Castle,40.911886495954015,-81.1070523816783,Castle
41,Alliance,40.915336200000006,-81.1059309,Dollar General,40.917707,-81.10531,Discount Store
42,Alliance,40.915336200000006,-81.1059309,SUBWAY,40.917712561177744,-81.10622235417884,Sandwich Place
43,Alliance,40.915336200000006,-81.1059309,GetGo,40.91425708818789,-81.10556583203952,Gas Station
44,Alliance,40.915336200000006,-81.1059309,Burger King,40.91439226343439,-81.10630720853806,Fast Food Restaurant
45,Alliance,40.915336200000006,-81.1059309,Alliance Liquor & Carry Out,40.916858000000005,-81.105244,Liquor Store
46,Alliance,40.915336200000006,-81.1059309,Panda Garden,40.917249,-81.105651,Chinese Restaurant
47,Amherst,41.3978217,-82.22237750000001,Olde Town Pizza House,41.39958331382931,-82.22519884957902,Pizza Place
